Time (s);Fᵧ (N)
6.2800000000;-0.5174204860
6.2900000000;-0.4995908838
6.3000000000;-0.4995908838
6.3100000000;-0.5174204860
6.3200000000;-0.5174204860
6.3300000000;-0.4995908838
6.3400000000;-0.4995908838
6.3500000000;-0.5174204860
6.3600000000;-0.4995908838
6.3700000000;-0.5174204860
6.3800000000;-0.4995908838
6.3900000000;-0.5174204860
6.4000000000;-0.4995908838
6.4100000000;-0.4995908838
6.4200000000;-0.4995908838
6.4300000000;-0.5174204860
6.4400000000;-0.5174204860
6.4500000000;-0.5174204860
6.4600000000;-0.5174204860
6.4700000000;-0.4995908838
6.4800000000;-0.5174204860
6.4900000000;-0.4995908838
6.5000000000;-0.5174204860
6.5100000000;-0.4995908838
6.5200000000;-0.4995908838
6.5300000000;-0.4995908838
6.5400000000;-0.4995908838
6.5500000000;-0.4995908838
6.5600000000;-0.4995908838
6.5700000000;-0.4995908838
6.5800000000;-0.4995908838
6.5900000000;-0.4995908838
6.6000000000;-0.4995908838
6.6100000000;-0.4995908838
6.6200000000;-0.4995908838
6.6300000000;-0.4995908838
6.6400000000;-0.4995908838
6.6500000000;-0.4995908838
6.6600000000;-0.4995908838
6.6700000000;-0.4995908838
6.6800000000;-0.4995908838
6.6900000000;-0.4995908838
6.7000000000;-0.4995908838
6.7100000000;-0.4995908838
6.7200000000;-0.4995908838
6.7300000000;-0.5174204860
6.7400000000;-0.4995908838
6.7500000000;-0.4995908838
6.7600000000;-0.4995908838
6.7700000000;-0.4995908838
6.7800000000;-0.4817612816
6.7900000000;-0.4995908838
6.8000000000;-0.4817612816
6.8100000000;-0.4817612816
6.8200000000;-0.4817612816
6.8300000000;-0.4995908838
6.8400000000;-0.4995908838
6.8500000000;-0.4995908838
6.8600000000;-0.4995908838
6.8700000000;-0.4817612816
6.8800000000;-0.4995908838
6.8900000000;-0.4995908838
6.9000000000;-0.4995908838
6.9100000000;-0.4995908838
6.9200000000;-0.4995908838
6.9300000000;-0.4995908838
6.9400000000;-0.4995908838
6.9500000000;-0.4995908838
6.9600000000;-0.4995908838
6.9700000000;-0.5174204860
6.9800000000;-0.5174204860
6.9900000000;-0.4995908838
7.0000000000;-0.4995908838
7.0100000000;-0.5174204860
7.0200000000;-0.5174204860
7.0300000000;-0.4995908838
7.0400000000;-0.5174204860
7.0500000000;-0.5174204860
7.0600000000;-0.4995908838
7.0700000000;-0.4995908838
7.0800000000;-0.4995908838
7.0900000000;-0.4995908838
7.1000000000;-0.4995908838
7.1100000000;-0.4995908838
7.1200000000;-0.5174204860
7.1300000000;-0.4995908838
7.1400000000;-0.4995908838
7.1500000000;-0.5174204860
7.1600000000;-0.4995908838
7.1700000000;-0.4995908838
7.1800000000;-0.4995908838
7.1900000000;-0.4995908838
7.2000000000;-0.5174204860
7.2100000000;-0.5174204860
7.2200000000;-0.5174204860
7.2300000000;-0.5174204860
7.2400000000;-0.4995908838
7.2500000000;-0.5174204860
7.2600000000;-0.5174204860
7.2700000000;-0.5174204860
7.2800000000;-0.5174204860
7.2900000000;-0.4995908838
7.3000000000;-0.4995908838
7.3100000000;-0.4995908838
7.3200000000;-0.4995908838
7.3300000000;-0.4995908838
7.3400000000;-0.4995908838
7.3500000000;-0.4995908838
